name,title,organization,num_resources,num_tags,license_id,isopen,state,first_resource_url,first_resource_format,first_resource_status,created,modified
ingreso-diarios-de-precios-por-variedad-de-producto-en-kg-del-01-al-25-de-abril-2017,INGRESO DIARIOS DE PRECIOS POR VARIEDAD  DE PRODUCTO EN KG.  DEL 01 AL 25 DE ABRIL  2017,Plataforma Nacional de Datos Abiertos,1,0,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/PRC.ABRIL__4.xlsx,XLSX,200,"Mar, 04/25/2017 - 14:35","Vie, 07/07/2017 - 20:07"
ingreso-diario-de-volumenes-tm-de-productos-al-gmml-del-01-al-26-de-abril-2017,INGRESO DIARIO DE VOLUMENES ( TM ) DE PRODUCTOS AL GMML DEL   01 AL 26  DE  ABRIL  2017,Plataforma Nacional de Datos Abiertos,1,0,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/VOL.ABRIL__5.xlsx,XLSX,200,"Mié, 04/26/2017 - 12:40","Vie, 07/07/2017 - 20:07"
precios-por-productos-variedad-del-01-al-25-de-abril-del-año-2017-kg,PRECIOS POR PRODUCTOS VARIEDAD DEL 01 AL 25 DE ABRIL DEL AÑO 2017  KG.,Plataforma Nacional de Datos Abiertos,1,0,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/prec.mensual_4.xlsx,XLSX,200,"Mar, 04/25/2017 - 14:38","Vie, 07/07/2017 - 20:07"
volumenes-y-procedencias-del-producto-del-01-al-25-de-abril-del-año-2017,VOLUMENES Y PROCEDENCIAS DEL PRODUCTO DEL 01 AL 25 DE ABRIL DEL AÑO:    2017,Plataforma Nacional de Datos Abiertos,1,0,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/VOL.PROC_.PROD_._4.xlsx,XLSX,200,"Mar, 04/25/2017 - 14:42","Vie, 07/07/2017 - 20:07"
precios-por-productos-variedad-del-01-al-26-de-abril-del-año-2017-kg,PRECIOS POR PRODUCTOS VARIEDAD DEL 01 AL 26 DE ABRIL DEL AÑO 2017  KG.,Plataforma Nacional de Datos Abiertos,1,0,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/prec.mensual_5.xlsx,XLSX,200,"Mié, 04/26/2017 - 12:44","Vie, 07/07/2017 - 20:07"
ingreso-diarios-de-precios-por-variedad-de-producto-en-kg-del-01-al-26-de-abril-2017,INGRESO DIARIOS DE PRECIOS POR VARIEDAD  DE PRODUCTO EN KG.  DEL 01 AL 26 DE ABRIL  2017,Plataforma Nacional de Datos Abiertos,1,0,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/PRC.ABRIL__5.xlsx,XLSX,200,"Mié, 04/26/2017 - 12:41","Vie, 07/07/2017 - 20:07"
volumenes-y-procedencias-del-producto-del-01-al-26-de-abril-del-año-2017,VOLUMENES Y PROCEDENCIAS DEL PRODUCTO DEL 01 AL 26 DE ABRIL DEL AÑO:    2017,Plataforma Nacional de Datos Abiertos,1,0,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/VOL.PROC_.PROD_._5.xlsx,XLSX,200,"Mié, 04/26/2017 - 12:48","Vie, 07/07/2017 - 20:07"
volumenes-de-producto-por-varieadad-tm-del-01-al-26-de-abril-del-año-2017,VOLUMENES DE PRODUCTO POR VARIEADAD   TM. DEL 01 AL 26 DE ABRIL DEL AÑO 2017,Plataforma Nacional de Datos Abiertos,1,0,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/VOL.PROD_._5.xlsx,XLSX,200,"Mié, 04/26/2017 - 12:46","Vie, 07/07/2017 - 20:07"
ingreso-diario-de-volumenes-tm-de-productos-al-gmml-del-01-al-27-de-abril-2017,INGRESO DIARIO DE VOLUMENES ( TM ) DE PRODUCTOS AL GMML DEL   01 AL 27  DE  ABRIL  2017,Plataforma Nacional de Datos Abiertos,1,0,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/VOL.ABRIL__6.xlsx,XLSX,200,"Jue, 04/27/2017 - 14:33","Vie, 07/07/2017 - 20:07"
volumenes-de-producto-por-varieadad-tm-del-01-al-27-de-abril-del-año-2017,VOLUMENES DE PRODUCTO POR VARIEADAD   TM. DEL 01 AL 27 DE ABRIL DEL AÑO 2017,Plataforma Nacional de Datos Abiertos,1,0,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/VOL.PROD_._6.xlsx,XLSX,200,"Jue, 04/27/2017 - 14:40","Vie, 07/07/2017 - 20:07"
