ruc	anio	mes	aduana_codigo	aduana_nombre	agente_codigo	agente_nombre	pais_codigo	pais_nombre	fob_usd	fecha_consulta
20136201213	2025	12	118	MARITIMA DEL CALLAO	5901	GRUPO PML S.A.C AGENTES DE ADUANAS	DE	GERMANY	163147.53	2026-09-19T23:27:29.864Z
20136201213	2025	12	118	MARITIMA DEL CALLAO	5901	GRUPO PML S.A.C AGENTES DE ADUANAS	JP	JAPAN	175003.84	2026-09-19T23:27:29.864Z
20136201213	2026	2	118	MARITIMA DEL CALLAO	6621	DESPACHOS Y SERVICIOS ADUANEROS S.A.C.	US	UNITED STATES	101437.67	2026-09-19T23:27:29.864Z
20136201213	2026	3	118	MARITIMA DEL CALLAO	6158	AGENCIA DE ADUANA MACROMAR S.A.	DE	GERMANY	10697.92	2026-09-19T23:27:29.864Z
20136201213	2026	3	118	MARITIMA DEL CALLAO	6158	AGENCIA DE ADUANA MACROMAR S.A.	FR	FRANCE	53970.27	2026-09-19T23:27:29.864Z
20140181405	2025	6	118	MARITIMA DEL CALLAO	7558	DESPACHOS ADUANEROS CHAVIMOCHIC SAC	CA	CANADA	161662.52	2026-09-19T23:27:29.864Z
20140181405	2025	6	118	MARITIMA DEL CALLAO	7558	DESPACHOS ADUANEROS CHAVIMOCHIC SAC	GP	GUADELOUPE	153335.91	2026-09-19T23:27:29.864Z
20140181405	2025	7	118	MARITIMA DEL CALLAO	7558	DESPACHOS ADUANEROS CHAVIMOCHIC SAC	MX	MEXICO	287139.75	2026-09-19T23:27:29.864Z
20140181405	2025	7	118	MARITIMA DEL CALLAO	7558	DESPACHOS ADUANEROS CHAVIMOCHIC SAC	US	UNITED STATES	133446.36	2026-09-19T23:27:29.864Z
20140181405	2025	8	118	MARITIMA DEL CALLAO	7558	DESPACHOS ADUANEROS CHAVIMOCHIC SAC	CA	CANADA	128184.38	2026-09-19T23:27:29.864Z
20140181405	2025	8	118	MARITIMA DEL CALLAO	7558	DESPACHOS ADUANEROS CHAVIMOCHIC SAC	US	UNITED STATES	412704.44	2026-09-19T23:27:29.864Z
20140181405	2025	9	118	MARITIMA DEL CALLAO	7558	DESPACHOS ADUANEROS CHAVIMOCHIC SAC	CA	CANADA	145323.75	2026-09-19T23:27:29.864Z
20140181405	2025	9	118	MARITIMA DEL CALLAO	7558	DESPACHOS ADUANEROS CHAVIMOCHIC SAC	US	UNITED STATES	336730.91	2026-09-19T23:27:29.864Z
20140181405	2025	9	118	MARITIMA DEL CALLAO	7558	DESPACHOS ADUANEROS CHAVIMOCHIC SAC	GP	GUADELOUPE	113176.54	2026-09-19T23:27:29.864Z
20140181405	2025	10	118	MARITIMA DEL CALLAO	7558	DESPACHOS ADUANEROS CHAVIMOCHIC SAC	US	UNITED STATES	521727.00	2026-09-19T23:27:29.864Z
20140181405	2025	10	118	MARITIMA DEL CALLAO	7558	DESPACHOS ADUANEROS CHAVIMOCHIC SAC	JP	JAPAN	328373.59	2026-09-19T23:27:29.864Z
20140181405	2025	11	118	MARITIMA DEL CALLAO	7558	DESPACHOS ADUANEROS CHAVIMOCHIC SAC	GP	GUADELOUPE	155526.42	2026-09-19T23:27:29.864Z
20140181405	2026	3	235	AEREA DEL CALLAO	6676	EUROADUANAS S.A.C. AGENCIA DE ADUANA	TR	TURKEY	410.04	2026-09-19T23:27:29.864Z
20140181405	2026	4	118	MARITIMA DEL CALLAO	7558	DESPACHOS ADUANEROS CHAVIMOCHIC SAC	GP	GUADELOUPE	66924.74	2026-09-19T23:27:29.864Z
20143692010	2025	1	118	MARITIMA DEL CALLAO	6982	JS PERU AGENCIA DE ADUANA S.A.C.	NL	NETHERLANDS	202888.21	2026-09-19T23:27:29.864Z
20143692010	2025	6	118	MARITIMA DEL CALLAO	6982	JS PERU AGENCIA DE ADUANA S.A.C.	BE	BELGIUM	239962.03	2026-09-19T23:27:29.864Z
20143692010	2025	7	118	MARITIMA DEL CALLAO	6982	JS PERU AGENCIA DE ADUANA S.A.C.	IT	ITALY	236078.33	2026-09-19T23:27:29.864Z
20143692010	2025	9	118	MARITIMA DEL CALLAO	6982	JS PERU AGENCIA DE ADUANA S.A.C.	BE	BELGIUM	836097.64	2026-09-19T23:27:29.864Z
20143692010	2025	10	118	MARITIMA DEL CALLAO	6982	JS PERU AGENCIA DE ADUANA S.A.C.	BE	BELGIUM	218741.48	2026-09-19T23:27:29.864Z
20143692010	2025	11	118	MARITIMA DEL CALLAO	6982	JS PERU AGENCIA DE ADUANA S.A.C.	BE	BELGIUM	171843.14	2026-09-19T23:27:29.864Z
20143692010	2025	11	118	MARITIMA DEL CALLAO	6982	JS PERU AGENCIA DE ADUANA S.A.C.	NL	NETHERLANDS	363559.02	2026-09-19T23:27:29.864Z
20143692010	2026	5	118	MARITIMA DEL CALLAO	6982	JS PERU AGENCIA DE ADUANA S.A.C.	BE	BELGIUM	109193.16	2026-09-19T23:27:29.864Z
20170142773	2025	5	046	PAITA	5901	GRUPO PML S.A.C AGENTES DE ADUANAS	US	UNITED STATES	303430.48	2026-09-19T23:27:29.864Z
20170142773	2025	6	046	PAITA	5901	GRUPO PML S.A.C AGENTES DE ADUANAS	US	UNITED STATES	816548.43	2026-09-19T23:27:29.864Z
20170142773	2025	7	046	PAITA	5901	GRUPO PML S.A.C AGENTES DE ADUANAS	CA	CANADA	342506.00	2026-09-19T23:27:29.864Z
20170142773	2025	7	046	PAITA	5901	GRUPO PML S.A.C AGENTES DE ADUANAS	IE	IRELAND	403451.40	2026-09-19T23:27:29.864Z
20170142773	2025	7	046	PAITA	5901	GRUPO PML S.A.C AGENTES DE ADUANAS	US	UNITED STATES	484480.61	2026-09-19T23:27:29.864Z
20170142773	2025	8	046	PAITA	5901	GRUPO PML S.A.C AGENTES DE ADUANAS	US	UNITED STATES	127648.13	2026-09-19T23:27:29.864Z
20170142773	2025	9	046	PAITA	5901	GRUPO PML S.A.C AGENTES DE ADUANAS	US	UNITED STATES	1507045.32	2026-09-19T23:27:29.864Z
20170142773	2025	9	046	PAITA	5901	GRUPO PML S.A.C AGENTES DE ADUANAS	IE	IRELAND	130391.23	2026-09-19T23:27:29.864Z
20170142773	2025	9	046	PAITA	5901	GRUPO PML S.A.C AGENTES DE ADUANAS	CA	CANADA	117799.71	2026-09-19T23:27:29.864Z
20170142773	2025	10	046	PAITA	5901	GRUPO PML S.A.C AGENTES DE ADUANAS	CA	CANADA	177249.84	2026-09-19T23:27:29.864Z
20170142773	2025	10	046	PAITA	5901	GRUPO PML S.A.C AGENTES DE ADUANAS	US	UNITED STATES	722225.00	2026-09-19T23:27:29.864Z
20170142773	2025	10	046	PAITA	5901	GRUPO PML S.A.C AGENTES DE ADUANAS	IE	IRELAND	409416.68	2026-09-19T23:27:29.864Z
20170142773	2025	11	046	PAITA	5901	GRUPO PML S.A.C AGENTES DE ADUANAS	US	UNITED STATES	305229.27	2026-09-19T23:27:29.864Z
20170142773	2025	12	046	PAITA	5901	GRUPO PML S.A.C AGENTES DE ADUANAS	US	UNITED STATES	291968.43	2026-09-19T23:27:29.864Z
20170142773	2026	1	046	PAITA	5901	GRUPO PML S.A.C AGENTES DE ADUANAS	US	UNITED STATES	161117.05	2026-09-19T23:27:29.864Z
20170142773	2026	5	046	PAITA	5901	GRUPO PML S.A.C AGENTES DE ADUANAS	US	UNITED STATES	241267.70	2026-09-19T23:27:29.864Z
20402648504	2025	6	118	MARITIMA DEL CALLAO	4795	A. HARTRODT ADUANAS S.A.C.	DE	GERMANY	295372.53	2026-09-19T23:27:29.864Z
20402648504	2025	7	118	MARITIMA DEL CALLAO	4795	A. HARTRODT ADUANAS S.A.C.	DE	GERMANY	281318.30	2026-09-19T23:27:29.864Z
20402648504	2025	8	118	MARITIMA DEL CALLAO	4795	A. HARTRODT ADUANAS S.A.C.	US	UNITED STATES	247046.25	2026-09-19T23:27:29.864Z
20402648504	2025	9	118	MARITIMA DEL CALLAO	4795	A. HARTRODT ADUANAS S.A.C.	DE	GERMANY	168962.47	2026-09-19T23:27:29.864Z
20402648504	2025	9	118	MARITIMA DEL CALLAO	4795	A. HARTRODT ADUANAS S.A.C.	US	UNITED STATES	251336.26	2026-09-19T23:27:29.864Z
20404057805	2025	1	118	MARITIMA DEL CALLAO	7378	SAN MIGUEL ADUANAS S.A.C.	NL	NETHERLANDS	218209.28	2026-09-19T22:58:10.718Z
