ruc	registrado	nombre_ppa	fecha_consulta
20486049198	true	COOPERATIVA AGROPECUARIA DE SERVICIOS VALLE DEL CUNAS LIMITADA (CAS VALLE DEL CUNAS LTDA)	2026-09-20T00:32:24.606Z
20486073145	true	ASOCIACION AGRO GANADERO ECOLOGICO DEL ALTO CACAZU - VILLA RICA	2026-09-20T00:32:24.606Z
20486094657	true	ASOCIACION DE PRODUCTORES DE CAFES ESPECIALES MOUNTAIN COFFE	2026-09-20T00:32:24.606Z
20486217830	true	COMUNIDAD CAMPESINA DE SANTA BARBARA	2026-09-20T00:32:24.606Z
20486255090	true	COOPERATIVA AGRARIA SANGARENI	2026-09-20T00:32:24.606Z
20486668335	true	COOPERATIVA AGROINDUSTRIAL SONOMORO LTDA	2026-09-20T00:32:24.606Z
20486876019	true	COOPERATIVA AGROECOLOGICO INDUSTRIAL MAZAMARI LTDA	2026-09-20T00:32:24.606Z
20486973219	true	COOPERATIVA AGRARIA SONOMORO DEL VRAEM LTDA	2026-09-20T00:32:24.606Z
20487226875	true	ORGANIZACION CENTRAL DE PRODUCTORES DE GRANADILLAS ESPECIALES DE LA PROVINCIA DE OXAPAMPA-PASCO	2026-09-20T00:32:24.606Z
20487242994	true	COOPERATIVA AGRARIA ECOLOGICA CACAOTERA VALLE RIO ENE - COOPAVRE	2026-09-20T00:32:24.606Z
20487351343	true	ASOCIACION DE PRODUCTORES AGROPECUARIOS TUPAC AMARU DE CHIÑAMA	2026-09-20T00:32:24.606Z
20487558363	true	ASOCIACION DE PRODUCTORES DE BAMBU RIO MARAÑON	2026-09-20T00:32:24.606Z
20487589242	true	ASOCIACION PRODUCTORES AGROPECUARIOS CERRO NEGRO	2026-09-20T00:32:24.606Z
20487661539	true	ASOCIACION DE PRODUCTORES CACAOTEROS DEL DISTRITO DE HUARANGO	2026-09-20T00:32:24.606Z
20489293898	true	COMUNIDAD CAMPESINA DE CHINCHE TINGO	2026-09-20T00:32:24.606Z
20489969221	true	ASOCIACION FORESTAL INDIGENA MADRE DE DIOS - AFIMAD	2026-09-20T00:32:24.606Z
20490195301	true	ASOCIACION DE MUJERES PRODUCTORAS SANTO DOMINGO TALLARIN DE CASA	2026-09-20T00:32:24.606Z
20490264397	true	ASOCIACION DE PRODUCTORES FRUTICOLAS Y PALTOS DEL VALLE DE LIMATAMBO	2026-09-20T00:32:24.606Z
20490395653	true	ASOCIACION DE PRODUCTORES AGROPECUARIOS LA VICTORIA OSCCOLLO COCHARCAS	2026-09-20T00:32:24.606Z
20490415603	true	EJECUTOR DE CONTRATO DE ADMINISTRACION DE LA RESERVA COMUNAL AMARAKAERI - ECA AMARAKAERI	2026-09-20T00:32:24.606Z
